V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,time1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20
3,5,5,1,1,1,1,5,5,4,5,5,4,5,4,1,5,4,5,2,5,3,1,5,2,4,5,6
3,4,4,0,4,3,4,4,5,4,3,4,4,3,4,4,4,3,4,3,4,5,4,4,3,4,4,16
5,5,5,4,5,3,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,4,5,5,5,5,10
4,3,4,4,3,3,4,3,5,4,3,4,4,3,4,4,4,3,4,3,3,3,4,5,4,3,4,24
4,4,4,4,4,4,3,3,3,4,4,5,4,3,3,2,3,4,4,4,4,4,4,4,4,3,4,5
5,4,3,4,4,3,3,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,8
5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18
3,3,2,4,5,5,4,4,3,3,2,3,4,4,3,3,3,3,4,4,4,3,3,4,5,4,3,14
5,3,5,4,5,3,3,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,3,5,3,5,5,9
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,5,4,5,5,1,5,5,36
5,4,5,5,5,3,3,5,5,5,5,5,5,5,5,3,5,4,1,5,5,5,3,5,5,5,5,7
3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,17
1,1,4,4,1,1,1,3,3,4,4,4,4,4,3,2,5,3,1,5,1,4,1,5,1,1,2,6
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7
3,2,1,3,3,1,1,3,3,3,3,4,4,4,4,1,4,4,1,1,1,2,2,4,2,1,3,3
5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18
4,2,2,2,3,2,2,4,4,4,3,4,4,4,3,2,4,5,2,2,3,4,3,4,2,3,3,6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,32
4,4,3,3,4,5,4,4,2,3,3,4,5,4,4,2,2,3,4,4,3,4,4,3,3,2,5,12
5,4,3,2,5,1,5,2,4,4,5,3,4,4,3,4,4,2,5,5,2,1,5,5,3,1,4,6
3,3,3,2,1,1,1,5,3,4,3,3,4,4,3,1,4,4,1,3,4,4,2,4,2,3,4,6
4,5,5,4,4,5,5,5,4,4,4,3,3,4,4,5,4,4,4,3,3,4,4,4,5,4,4,19
4,5,4,5,4,3,3,5,5,5,5,5,5,5,5,2,5,5,3,3,5,4,3,5,3,4,3,4
4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,27
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,14
3,5,5,1,1,1,3,3,5,5,5,4,2,4,2,1,4,5,2,4,3,1,1,5,5,4,5,11
5,5,4,2,1,3,3,3,3,4,5,4,4,3,3,4,3,3,3,4,5,4,4,5,3,3,4,12
4,1,2,4,2,1,1,3,3,3,3,4,5,4,3,1,4,2,2,4,3,4,3,4,4,2,1,5
5,3,3,4,5,4,1,2,4,5,5,3,5,3,4,4,3,3,2,4,5,1,5,4,3,5,4,4
5,4,4,5,4,4,4,5,3,4,5,3,4,3,4,5,5,4,3,4,4,5,3,4,3,4,4,22
2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,3,2,2,2,-1
4,4,4,3,4,4,4,5,5,5,4,4,4,3,3,3,4,4,4,3,3,3,5,4,3,5,4,27
3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,4,5,3,3,3,4,4,4,4,4,3,3,24
5,5,5,4,4,4,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4
3,2,3,5,4,3,3,4,4,3,3,4,4,4,3,3,1,1,1,2,3,4,3,3,4,4,3,2
4,4,4,2,3,2,1,5,4,4,4,4,5,4,2,2,5,4,1,2,4,4,4,4,3,4,3,7
4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,4,4,4,4,16
3,4,3,2,4,3,3,3,4,3,4,4,4,4,4,3,5,5,2,0,3,4,3,4,3,4,3,3
4,3,3,3,3,4,4,3,3,3,3,3,4,4,3,3,4,3,3,3,4,4,3,3,3,4,4,4
2,3,4,5,4,4,3,3,3,2,2,1,1,2,3,4,5,5,5,4,4,3,3,3,4,3,2,24
4,3,5,4,4,4,3,5,5,4,4,3,5,5,3,5,4,5,5,3,4,4,4,5,3,5,5,25
3,3,4,5,3,2,3,2,3,5,4,3,4,5,4,5,5,3,5,4,3,2,3,4,3,2,3,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,15
5,3,3,4,3,1,1,5,3,5,5,5,5,5,4,3,5,5,5,3,5,5,1,5,4,4,4,6
5,3,3,4,3,2,2,4,3,5,3,5,5,5,5,2,5,5,2,5,5,5,3,5,3,5,5,7
2,2,3,3,2,2,2,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,24
4,4,5,1,2,2,2,5,4,4,4,4,4,4,4,4,5,4,1,2,5,5,2,4,4,4,4,25
5,4,2,2,4,2,4,5,4,4,4,4,4,3,3,3,5,5,2,4,4,4,3,4,4,4,2,10
4,4,4,3,4,4,1,4,3,4,4,4,4,4,4,2,4,4,3,3,4,4,3,4,3,2,3,2
5,5,4,4,4,5,5,5,4,5,4,4,4,5,5,5,4,4,5,5,5,4,5,4,4,5,5,9
4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,18
3,2,3,3,2,4,3,2,3,4,2,3,2,4,3,2,3,2,4,3,2,3,2,4,3,2,4,11
4,5,5,4,5,4,4,5,5,4,5,4,5,5,5,4,5,3,4,4,4,5,4,5,4,5,5,4
5,4,4,4,5,2,4,4,4,5,5,4,5,5,4,4,5,5,4,4,4,4,3,5,4,4,5,7
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
4,4,4,4,5,5,4,4,5,5,4,5,5,5,4,4,3,4,4,4,5,4,5,5,5,4,5,28
4,4,4,3,4,4,5,5,4,5,4,5,5,5,5,3,5,4,3,5,4,5,3,4,3,5,3,5
4,5,5,5,5,4,3,4,5,5,5,5,5,5,5,2,5,5,4,3,5,5,4,5,5,4,4,7
4,2,3,1,2,1,1,4,5,4,5,4,5,4,4,1,5,2,1,4,5,1,1,5,4,3,1,5
3,3,4,4,3,1,1,5,5,4,4,4,4,5,5,1,5,5,1,1,3,5,1,5,5,5,1,8
4,4,4,4,4,2,2,2,3,4,3,3,4,4,3,2,5,5,1,1,3,4,2,4,5,3,4,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8
2,0,2,3,3,3,4,4,3,3,2,2,4,4,4,2,4,4,2,4,2,4,2,3,2,4,2,1
3,3,3,4,3,1,1,3,3,3,3,4,4,3,2,1,4,4,1,3,3,3,4,4,3,2,4,2
5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,8
3,3,1,1,2,2,4,5,4,3,3,3,3,3,3,3,3,4,3,4,4,1,1,3,1,3,3,4
3,3,1,4,4,1,4,5,4,3,5,4,2,4,5,2,4,1,1,4,4,1,3,4,2,5,3,5
5,4,3,4,5,4,1,5,5,5,5,5,5,5,5,0,5,5,5,3,5,2,1,5,3,4,5,13
3,5,4,5,5,4,3,4,3,4,5,4,4,3,4,4,4,5,4,3,3,4,4,3,3,4,4,7
3,4,4,3,4,5,3,4,5,5,3,2,3,4,3,2,4,2,3,4,2,3,4,4,3,2,3,8
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25
4,3,4,3,3,4,3,4,4,4,5,4,4,4,3,3,4,4,1,0,3,3,3,4,4,3,3,4
3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,2,5,4,2,3,4,4,3,4,3,3,3,11
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24
5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,3,18
5,5,5,2,5,3,5,5,5,5,0,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,19
4,5,5,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,31
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27
4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,5,5,4,5,19
4,3,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,3,4,3,4,4,3,4,2
3,3,2,3,2,2,2,4,5,4,4,4,5,4,3,2,5,3,2,3,4,4,3,5,3,3,2,12
5,4,4,4,5,5,5,4,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,4,4,5,5,8
4,5,1,5,4,1,1,5,4,4,4,4,4,2,2,2,5,5,4,4,4,2,3,5,3,3,2,9
4,3,3,3,3,2,2,3,3,3,4,4,3,3,3,3,4,3,2,3,3,2,3,4,3,3,4,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36
3,4,5,3,4,5,2,4,3,5,4,5,5,4,4,1,5,5,3,2,3,5,3,5,4,5,3,2
2,1,3,1,2,3,2,4,4,4,3,4,2,5,4,2,4,4,3,4,5,2,4,1,2,3,3,1
5,5,5,2,2,2,3,3,3,3,3,3,4,4,4,5,2,3,3,3,3,3,4,4,4,4,4,21
5,4,4,4,3,3,2,3,3,3,4,3,3,4,4,4,3,2,2,3,2,3,3,3,4,4,0,15
2,2,2,3,2,2,2,4,3,2,2,2,2,2,2,2,3,2,2,3,4,2,2,2,2,2,2,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14
2,2,3,3,2,1,3,4,3,3,3,4,4,4,2,2,4,4,1,3,3,4,2,4,2,2,2,1
5,3,2,2,4,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,2,4,4,0,4,5,4,3
4,4,4,2,4,4,3,5,5,5,5,5,5,4,3,3,4,5,3,4,5,5,4,5,3,4,4,4
3,3,4,3,2,2,2,3,3,3,3,4,4,5,4,3,4,3,3,3,4,4,5,5,4,3,3,26
4,3,3,3,3,3,3,4,4,4,5,5,4,4,3,3,3,3,3,3,4,4,4,4,5,5,5,24
3,3,3,3,2,3,1,5,4,3,3,4,5,4,4,2,5,5,1,3,5,5,3,4,3,4,4,0
2,2,4,4,3,1,1,4,2,5,4,4,5,4,2,1,5,5,2,4,4,5,2,5,2,4,3,7
4,3,3,5,4,4,4,5,4,4,5,3,4,4,3,3,4,5,5,4,4,3,4,4,5,4,4,26
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,18
3,3,3,3,3,1,3,4,3,3,3,3,3,3,2,1,5,4,3,3,3,4,2,4,4,3,4,5
4,3,4,4,3,4,5,5,4,3,4,5,4,4,3,4,4,5,4,3,4,5,4,4,3,4,5,30
4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,4,4,8
4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,3,4,5,9
5,3,5,5,5,4,5,5,3,5,4,2,5,4,3,5,5,4,3,5,5,1,5,5,3,4,2,9
3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
5,3,3,3,4,4,4,5,3,5,5,5,5,5,3,3,5,4,3,4,4,3,3,5,3,5,5,6
5,5,4,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,5,5,4,4,3
4,4,1,2,5,1,1,4,4,4,4,3,3,3,3,1,4,4,4,5,5,2,2,5,4,1,2,5
5,5,4,4,4,5,1,4,5,5,4,5,4,4,4,4,5,4,2,3,4,4,4,5,4,5,2,4
4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,7
4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,5,5,4,4,3,8
5,5,5,4,5,3,4,4,4,4,5,4,3,3,5,4,5,4,5,3,4,4,5,4,4,4,3,17
4,4,4,5,4,3,4,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,3,5,5,4,4,6
3,3,3,3,2,2,2,2,3,2,3,3,3,2,2,2,0,3,2,3,3,2,3,3,3,3,3,3
4,3,4,3,3,2,2,4,4,4,4,4,4,4,4,2,5,5,2,3,4,4,2,4,2,2,5,5
4,4,4,1,2,2,3,5,4,4,4,4,4,4,4,1,5,4,3,4,4,4,4,5,3,4,4,5
2,1,1,2,1,1,1,4,4,2,2,2,4,3,0,1,4,4,3,2,4,4,2,4,2,2,3,7
4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,15
4,4,4,4,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,4,4,4,4,4,5,5
3,2,3,4,4,3,3,2,2,3,3,4,4,3,3,2,4,3,3,3,2,2,3,3,4,4,3,4
5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,4,4,4,4,3,3,4,5,5,4,4,3,3,4,5,4,4,3,3,4,4,3,3,4,4,3,6
3,3,1,3,3,3,2,5,5,5,5,5,5,5,5,3,5,5,3,3,5,5,4,5,3,5,2,18
5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,4,4,3,5,4,4,4,20
2,2,3,3,3,3,4,4,4,4,4,4,4,4,3,2,1,1,3,2,1,1,1,1,3,2,1,12
4,5,4,5,4,3,2,1,2,3,4,5,4,3,2,1,5,4,3,4,5,4,3,4,5,4,3,5
4,4,5,4,5,4,5,5,4,4,4,5,5,4,4,3,5,4,4,4,5,5,4,4,4,5,4,14
4,4,3,3,4,4,3,4,4,3,3,4,4,5,4,4,3,2,4,4,5,4,4,3,3,2,3,21
4,4,3,4,3,4,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,3,4,3,1
3,4,4,2,2,2,2,4,4,4,4,4,4,4,3,1,5,5,3,4,4,4,4,4,4,4,4,5
2,2,2,1,3,3,3,4,4,3,3,2,2,2,2,2,1,2,2,2,3,3,2,1,1,1,1,18
5,5,4,4,5,5,4,4,4,4,4,5,5,4,5,4,4,5,5,5,5,4,4,5,4,5,5,3
2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,3,2,2,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
4,3,3,3,3,2,4,4,4,4,4,4,4,4,4,3,4,3,2,4,4,4,3,4,4,3,3,7
3,4,5,2,4,2,4,4,5,3,4,5,5,4,4,4,5,5,4,4,3,5,3,5,2,4,5,4
2,3,3,4,3,2,3,4,3,3,2,2,3,3,3,4,4,3,3,2,2,1,1,2,3,3,2,4
3,3,3,2,3,2,1,5,2,2,4,3,2,3,3,3,2,4,2,4,4,1,3,3,3,3,2,5
4,3,3,4,3,5,4,3,5,5,4,3,3,4,5,4,4,5,3,4,3,3,5,5,4,5,3,5
5,3,5,4,3,3,2,4,5,5,5,5,4,4,3,3,5,5,3,4,4,5,3,5,3,4,2,7
3,5,4,2,4,3,4,5,4,2,3,2,4,3,4,3,2,3,2,4,3,5,4,2,3,2,4,8
4,4,4,4,4,4,4,5,5,4,4,5,5,5,3,3,3,4,4,3,4,4,3,4,4,4,4,6
4,3,5,5,1,1,1,5,4,5,5,5,5,4,4,1,5,5,1,1,4,5,1,5,4,3,2,8
3,3,2,4,3,3,4,4,3,4,5,5,4,5,4,3,4,5,3,4,3,5,2,5,3,4,3,9
5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,3,2,3,2,1,1,4,4,3,4,4,5,4,3,1,5,4,2,1,4,5,1,5,2,3,4,9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,2,1,4,4,3,4,4,5,4,4,3,4,4,2,3,3,3,3,3,3,3,3,2
4,3,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3,4,4,3,3,3,4,4,3,14
3,3,3,3,3,2,2,3,3,3,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,2
2,1,4,2,2,2,2,3,3,3,3,3,4,3,3,1,4,5,2,2,3,3,3,4,2,1,4,5
3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,2
4,5,2,3,4,1,1,5,4,4,4,4,2,5,5,3,4,4,1,2,3,1,3,5,4,4,1,10
5,4,4,4,2,2,5,4,3,5,5,4,4,3,5,5,4,3,5,5,2,4,4,4,4,3,5,10
3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,5,4,3,3,3,3,3,3,3,3,3,3,10
3,3,3,4,4,4,3,3,3,2,2,2,3,2,2,1,4,4,3,3,3,5,4,4,4,4,3,5
4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2
5,4,5,5,5,5,4,5,4,5,4,4,4,5,5,4,5,3,4,3,4,4,4,4,5,5,4,15
4,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,3,3,3,2,4,3,3,3,4,2
4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,3,3,4,10
2,3,3,2,1,3,3,3,4,5,4,3,2,2,3,3,2,3,3,4,5,5,4,4,3,3,2,8
5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19
5,5,5,4,2,3,2,5,5,5,5,5,5,5,5,2,5,5,2,2,5,5,3,5,3,4,5,9
5,5,4,5,5,5,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,5,27
3,3,3,3,3,2,2,3,3,2,3,4,0,4,3,3,3,4,4,4,5,2,3,4,4,4,2,8
3,3,3,3,3,2,2,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,3,4,4,5
5,2,4,4,5,2,4,5,2,1,4,5,4,2,5,4,4,5,5,4,2,5,5,4,2,4,3,11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,3,3,3,4,2,2,4,4,4,4,4,4,4,4,2,4,5,2,3,4,5,1,4,3,4,4,5
4,4,3,4,3,2,3,3,4,3,4,4,4,4,3,3,5,4,3,3,4,2,3,4,4,3,2,5
5,3,5,3,5,5,2,5,4,4,5,5,4,5,4,3,5,4,4,5,5,1,2,5,3,5,5,5
4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4,4,5,4,4,4,4,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16
3,2,3,2,3,4,3,2,3,4,3,2,3,4,3,2,2,3,4,3,2,3,4,3,2,3,4,10
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,3,4,2,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21
4,4,0,4,4,3,3,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,3,5,4,13
3,4,4,4,5,5,3,3,4,5,5,4,4,5,5,4,5,4,4,4,3,4,4,3,3,5,4,7
4,4,5,4,4,4,4,5,4,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,6
4,4,4,3,4,4,5,5,4,4,4,4,4,4,3,3,4,5,5,4,4,4,3,3,3,3,3,5
4,3,4,2,3,2,4,4,4,4,4,4,5,4,4,1,5,5,3,4,4,4,2,5,3,4,4,4
3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,4,3,2,3,3,3,3,3,7
3,2,2,4,4,2,4,1,3,2,2,3,2,2,1,1,4,4,4,4,2,1,1,4,4,2,1,4
3,3,3,4,4,5,5,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,2
4,4,5,4,4,3,4,4,3,5,5,5,5,5,5,2,5,5,4,3,5,5,3,4,2,4,4,14
4,4,4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,15
4,2,2,4,3,2,4,4,4,4,5,4,4,5,5,3,4,1,3,4,4,4,4,5,2,3,2,6
5,5,5,4,5,5,5,4,4,4,5,5,3,4,3,4,5,5,5,5,4,1,4,5,3,4,2,8
3,1,2,4,1,5,2,3,1,2,4,5,3,4,2,1,1,3,5,4,2,1,3,3,2,4,5,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
4,2,2,4,3,3,2,2,3,2,2,4,4,2,3,3,4,3,2,0,4,4,3,2,3,3,4,8
4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,4,4,4,14
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
3,4,3,3,2,2,2,4,4,4,4,4,4,4,3,2,4,3,2,2,3,4,2,4,2,3,4,1
5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18
4,3,3,4,3,3,4,4,4,4,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,4,4,9
4,4,2,3,4,2,5,5,2,2,3,4,1,4,4,2,1,3,2,3,4,5,5,1,1,3,4,14
5,4,3,5,5,2,2,5,5,5,5,5,5,4,3,2,5,5,2,4,5,4,3,5,3,5,4,10
4,5,4,4,4,4,5,5,4,5,5,5,5,5,4,3,5,3,4,5,4,2,4,5,5,5,2,2
