V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,time1
1,1,1,1,1,1,1,5,4,3,4,4,4,4,3,1,5,5,1,2,4,1,1,4,2,2,3,5
5,3,4,3,4,4,1,5,5,5,5,5,5,5,5,3,5,5,3,4,4,1,4,5,3,5,4,7
5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,2,5,3,5,5,10
3,2,3,3,2,2,4,3,3,2,3,2,3,3,4,3,4,3,1,2,2,3,2,2,3,2,4,0
5,4,3,5,5,4,4,4,5,5,4,5,4,3,3,4,4,5,4,5,3,5,4,5,4,4,5,12
5,4,1,3,4,4,1,5,5,5,5,5,5,5,5,1,5,5,1,5,4,5,4,5,4,4,5,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
3,3,4,3,3,2,4,4,4,4,4,4,5,4,4,3,5,5,3,4,5,5,3,4,3,4,2,7
3,3,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,0,3,3,4
2,3,2,3,2,2,2,4,4,3,4,3,4,4,3,2,4,4,2,2,4,4,2,4,2,3,4,9
1,2,3,3,2,2,2,2,1,2,1,2,2,2,3,3,3,1,2,1,2,2,2,2,1,2,4,8
3,2,2,4,3,2,2,4,4,3,4,3,2,3,3,2,2,2,2,3,4,2,2,4,3,3,3,2
4,5,3,1,2,3,4,5,4,3,2,1,1,2,2,1,1,2,3,4,5,4,3,2,1,2,3,17
1,4,4,4,1,1,1,4,3,4,4,4,4,3,3,1,4,4,1,1,4,3,1,4,3,1,4,6
5,2,4,1,2,1,1,5,5,5,5,5,5,5,4,1,4,5,2,2,4,5,2,5,4,5,2,7
3,2,4,2,2,3,1,4,5,0,4,4,5,4,4,1,5,4,1,2,3,2,3,5,3,4,2,3
5,4,3,2,2,3,2,5,4,4,4,3,3,4,4,3,5,4,3,2,3,2,2,5,3,2,4,15
4,4,5,4,4,4,4,5,5,5,4,5,5,5,5,3,5,5,4,4,5,4,4,5,4,4,4,11
2,3,1,3,1,1,2,4,3,4,4,4,5,2,2,2,5,5,2,4,3,4,2,5,2,2,2,1
3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,3,3,4,3,5
4,4,4,4,4,5,5,5,5,4,4,4,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,18
1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,1,5,3,1,5,5,1,1,5,3,5,1,9
1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,13
5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,2,5,5,3,5,5,2,5,5,5,5,2,19
5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
3,4,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,3,9
4,3,4,4,5,2,2,5,5,5,4,4,4,5,3,1,5,3,4,4,4,4,4,5,3,3,2,9
1,1,1,1,1,1,1,1,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,1,1,3,3
5,4,3,5,5,4,3,4,4,5,5,5,4,4,3,5,5,5,4,4,4,5,5,5,5,5,5,9
1,3,1,4,1,1,1,1,1,1,1,1,1,4,3,1,3,4,1,1,4,1,1,4,1,3,1,4
5,5,4,3,3,5,4,4,5,3,3,4,4,4,4,3,3,4,5,4,4,3,5,4,3,3,4,4
2,3,2,2,2,2,2,2,4,2,4,3,2,3,3,2,2,2,2,2,3,2,2,3,2,2,2,6
5,5,1,3,1,0,1,5,5,5,4,5,1,5,5,1,5,1,3,5,5,1,1,5,1,5,3,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
4,3,4,4,4,4,3,4,4,4,5,3,4,3,5,4,4,5,3,4,4,4,4,3,4,4,5,16
4,4,5,3,4,2,5,5,5,5,4,5,5,5,5,3,3,3,4,3,1,5,3,5,4,4,5,10
4,3,2,3,3,3,2,2,3,3,4,3,2,2,2,2,3,3,4,4,4,3,2,2,3,3,3,-1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,3,5,4,5,5,4,5,4,5,5,5,5,9
4,3,4,3,4,2,2,5,5,4,4,4,4,5,3,4,4,4,4,4,5,2,2,5,4,2,2,9
1,1,1,4,1,1,1,3,3,4,4,4,3,3,2,1,4,5,1,1,4,3,3,4,1,2,3,-1
4,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,3
3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,8
3,4,4,3,3,3,4,3,2,2,4,4,4,4,5,3,3,3,4,3,4,4,3,3,2,3,5,10
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,7
2,4,3,3,3,2,4,3,2,3,4,2,3,4,2,2,3,2,3,4,3,2,2,2,3,3,3,4
3,3,3,2,3,3,3,4,3,3,3,4,4,3,3,4,2,3,3,2,3,3,3,2,3,3,4,21
1,1,1,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,1,3,3
4,4,1,4,2,2,2,5,5,4,4,4,4,5,4,2,4,4,2,4,4,4,4,5,4,2,5,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
2,2,2,3,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,3,0
3,3,3,2,3,3,3,5,3,3,4,3,3,4,3,2,4,3,3,3,5,3,3,4,3,4,3,4
1,3,1,1,1,1,1,5,2,1,1,1,1,1,2,1,3,2,1,2,4,1,3,4,2,2,3,3
4,4,4,2,3,4,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,4,6
3,2,3,3,3,3,4,2,0,4,3,4,2,4,2,3,5,5,3,2,4,3,2,3,3,5,2,7
4,3,4,4,5,5,4,3,5,5,4,3,5,5,3,4,4,5,5,4,3,5,5,3,4,5,5,6
4,4,4,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,5
5,5,3,4,5,4,5,5,4,5,5,4,5,5,5,4,5,4,5,4,4,5,4,5,5,4,4,10
3,1,1,1,1,1,1,3,1,1,1,3,3,3,3,3,4,4,1,3,3,1,1,4,2,1,1,2
4,5,5,4,5,5,5,5,5,5,4,5,4,5,5,4,5,4,5,5,5,5,4,4,4,5,4,4
5,3,2,2,4,4,1,5,5,5,5,5,5,5,2,1,5,5,3,3,4,5,3,4,3,4,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,4,5,3,3,4,3,4,4,4,4,4,5,4,3,1,5,2,3,4,3,4,4,5,3,3,4,5
5,5,0,4,4,4,5,4,5,5,5,5,3,4,5,5,5,5,5,5,5,1,5,5,4,4,5,14
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8
3,3,3,2,2,2,2,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,6
4,3,3,4,5,5,0,3,3,4,4,5,5,3,3,4,4,4,3,3,4,5,5,5,5,3,5,10
4,4,4,3,4,3,4,4,3,4,5,4,4,4,2,3,5,5,4,4,4,2,3,4,3,2,2,6
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,5,3,3,3,3,4,4,4,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,2,4,4,3,4,6
4,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3
3,3,3,2,3,3,1,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
4,4,0,3,4,3,1,4,5,5,5,5,5,5,5,3,5,5,1,3,4,3,3,5,4,5,4,6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,14
5,5,3,4,5,5,1,5,5,5,5,5,5,5,5,3,5,5,1,5,5,2,2,5,1,2,5,10
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,5,4,4,4,4,4,4,4,3,5,2,5,5,4,4,4,2,5,5,2,4,5,3,2,4,7
3,2,3,3,4,3,2,3,3,3,4,3,3,3,3,2,3,3,4,3,3,2,3,3,3,2,3,2
5,2,4,1,5,3,5,3,3,4,3,2,1,3,3,4,2,2,2,3,5,3,3,2,4,2,1,20
4,4,3,4,2,1,1,4,4,4,4,4,2,4,4,2,4,2,1,1,2,2,2,4,3,4,2,4
2,2,2,2,2,3,1,4,3,4,4,4,4,3,3,1,4,3,1,5,3,4,4,0,2,3,2,1
1,1,1,3,2,1,3,4,3,3,4,4,3,4,3,1,2,1,1,3,3,2,0,3,1,1,1,3
3,3,4,4,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,9
5,5,4,4,5,4,4,5,5,4,5,4,2,3,4,2,5,5,3,5,5,3,4,5,4,4,4,-1
0,0,0,3,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,2,4,4,4,0,0,9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7
5,5,5,4,5,2,5,5,5,2,5,5,5,5,5,2,5,4,4,5,5,5,1,5,3,4,4,6
2,1,0,3,1,3,3,5,3,0,2,4,0,0,2,0,5,4,1,3,5,3,1,3,1,3,3,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18
3,4,5,5,5,5,5,4,4,4,4,5,5,5,5,4,5,5,5,5,4,4,4,4,4,3,3,0
5,5,4,5,3,4,4,5,4,4,5,5,5,3,4,4,4,5,5,5,4,0,5,4,0,3,4,7
2,5,4,1,1,5,2,4,3,3,2,5,0,4,2,3,2,3,3,4,1,2,0,4,3,3,1,8
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
4,4,4,5,4,4,2,5,5,5,5,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,4
2,1,2,3,2,1,1,5,4,4,4,4,5,5,4,3,5,5,4,2,4,5,1,4,2,3,3,17
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,2,1,2,1,1,1
4,3,4,4,3,4,1,4,4,3,4,3,5,3,2,1,5,5,4,4,2,2,3,4,2,4,4,4
4,4,4,3,4,4,4,5,5,5,5,4,4,4,5,5,4,5,5,5,4,4,4,4,4,5,5,15
3,3,3,4,4,4,4,5,5,0,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,15
3,4,4,5,5,4,5,4,5,5,5,5,5,4,4,4,4,5,4,4,3,3,3,3,3,3,4,31
4,3,3,3,4,1,1,4,4,4,4,4,4,4,4,1,4,4,3,4,4,5,4,4,3,4,4,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,35
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5
4,5,5,5,4,4,4,4,4,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,8
4,3,3,3,4,3,3,5,4,3,4,4,3,3,3,2,5,4,3,4,4,3,3,4,3,2,4,14
4,3,0,3,3,3,3,3,3,3,4,3,4,3,2,3,4,4,4,4,4,4,3,4,4,3,4,9
3,4,5,5,4,4,4,5,5,5,4,4,5,4,4,1,5,3,3,3,5,4,3,5,3,4,4,-3
5,5,4,4,4,2,4,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,2,5,3,5,5,19
5,5,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,3
5,5,5,4,4,4,5,5,5,5,4,4,5,5,3,4,5,5,4,4,5,4,4,5,4,4,4,-3
5,5,5,5,5,2,1,1,2,4,4,4,4,4,0,0,0,5,5,5,5,5,5,5,5,5,5,1
2,3,1,2,2,0,1,4,4,4,2,4,4,4,3,1,5,5,1,1,3,4,2,5,2,4,2,3
2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,3,4,5,4,3,2,3,3,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,2,3,2,4,5,-1
4,5,3,4,3,3,0,3,5,3,5,5,4,5,5,4,4,5,3,4,3,4,4,4,4,4,3,-5
3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,3,1,1,2,2,3,3,3,3,3,3,3,6
4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
3,3,3,4,3,3,4,5,4,3,4,3,3,3,3,3,3,3,3,3,5,3,3,4,3,4,3,-3
2,2,2,3,4,2,1,4,4,3,3,3,2,0,3,3,4,3,3,3,4,1,2,4,3,2,2,1
1,1,1,3,3,0,3,3,3,1,3,1,1,3,3,3,4,3,1,3,1,1,1,1,1,1,1,2
1,3,1,5,2,1,1,5,4,1,4,4,1,4,4,1,1,1,1,1,5,1,1,3,1,1,1,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
3,4,4,4,5,0,3,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,-8
2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,0,2,4,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
2,3,2,3,2,2,2,3,4,4,4,4,4,4,3,2,4,4,3,3,3,3,3,4,3,3,2,4
3,3,4,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,7
5,5,2,2,4,1,1,5,5,0,5,5,5,5,5,5,5,5,2,1,5,3,1,5,4,4,2,9
3,2,2,2,1,1,1,4,3,3,4,3,2,3,2,1,3,2,1,2,4,2,1,4,3,2,2,6
3,2,3,4,3,2,1,4,4,4,4,3,4,3,2,2,5,5,2,2,4,5,3,4,4,4,4,-4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4,4,4,5,4,7
4,3,2,3,3,3,2,4,3,3,4,4,5,3,3,3,5,5,3,4,4,4,3,3,3,3,3,6
5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,7
4,4,2,2,2,2,4,5,5,3,4,4,5,4,4,3,4,4,2,5,5,4,4,5,3,4,3,8
0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,-2
3,4,3,5,2,1,1,4,3,4,4,0,5,4,4,1,4,3,1,4,4,3,4,4,3,2,4,3
3,4,2,3,2,1,2,4,4,3,4,4,5,4,3,1,5,4,4,4,5,4,2,5,4,3,2,2
4,2,4,3,3,3,3,3,3,3,4,4,4,4,3,3,5,4,4,3,4,4,3,5,3,3,5,5
3,4,1,3,2,1,1,4,3,4,4,3,1,3,2,1,3,3,1,3,3,1,1,3,3,1,1,2
4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,3,4,4,2,4,4,13
4,3,3,2,2,3,3,5,3,4,4,5,3,4,3,2,3,3,2,5,4,2,4,3,3,4,4,6
1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,3,4,1,1,1,4,1,5,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
3,3,3,1,4,2,4,5,5,5,5,5,5,5,5,1,5,5,3,5,5,5,3,5,3,5,5,13
4,4,4,1,1,1,2,5,5,5,4,5,5,5,2,1,5,5,4,4,5,3,1,5,1,4,2,4
5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4
3,3,3,1,1,1,3,1,0,1,1,3,1,1,1,1,5,5,3,0,2,3,3,3,3,3,3,9
4,3,2,4,4,4,3,5,5,4,3,3,4,4,3,1,5,4,3,4,5,3,4,5,4,2,5,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11
2,2,3,3,4,3,2,5,5,4,5,5,5,5,5,2,5,5,3,4,5,5,2,4,2,3,5,4
4,4,4,5,4,5,4,5,5,5,4,4,4,4,3,2,5,5,4,5,5,4,4,5,4,3,3,6
4,4,4,2,3,5,5,4,4,5,4,4,5,5,4,3,5,4,5,5,4,5,3,4,3,4,3,-2
4,4,3,4,5,5,4,2,5,5,5,5,4,5,5,3,5,5,2,5,4,5,5,5,3,4,2,2
4,4,5,3,4,4,3,3,0,0,4,4,5,5,4,4,5,4,4,4,5,5,5,4,4,4,4,1
2,1,1,1,1,1,1,0,3,2,4,3,2,3,3,1,3,2,1,1,2,1,1,3,3,2,1,1
3,4,4,4,4,4,3,3,4,4,3,4,3,4,3,4,4,3,4,4,3,3,4,3,4,4,4,5
3,3,3,3,2,4,1,4,3,5,3,3,4,4,3,2,4,3,2,3,4,2,2,4,3,3,2,9
2,3,2,2,2,3,2,3,4,4,4,4,3,4,4,3,3,4,2,3,4,2,3,4,3,3,2,3
3,3,2,3,2,2,2,4,3,3,3,3,4,4,3,1,5,5,3,2,4,4,2,4,2,2,3,-9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
5,5,4,1,1,1,1,5,4,3,1,4,5,3,3,1,5,5,3,4,5,5,1,5,3,1,5,6
2,1,4,4,1,1,1,5,4,4,3,2,5,4,3,1,5,4,2,2,5,5,1,5,3,4,5,10
3,2,3,4,3,4,4,4,5,4,4,4,5,4,4,2,5,5,3,4,4,5,4,4,4,5,3,4
4,4,4,3,4,4,1,4,4,4,4,4,5,4,3,4,4,2,4,3,3,5,3,4,4,4,4,5
2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,2,3,3,3
2,3,1,2,2,2,2,4,3,3,4,4,3,3,3,1,5,5,3,3,4,3,3,4,3,2,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,3,3,3,4,4,3,4,4,4,3,3,3,2,3,3,3,3,4,2,3,5,3,5,3,13
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13
4,3,3,3,4,3,4,4,3,3,3,4,4,4,3,3,4,4,4,4,3,3,4,5,3,3,5,7
4,3,3,4,3,3,2,3,3,4,4,4,4,4,4,2,4,4,4,4,4,3,3,4,4,2,2,2
4,4,3,4,4,3,2,4,4,4,3,4,4,4,4,2,4,4,1,3,3,4,0,3,4,3,4,2
4,5,4,3,4,5,2,2,4,4,3,3,4,2,2,2,5,5,1,5,2,3,4,4,3,2,5,8
1,1,1,1,1,1,1,1,3,1,1,1,4,4,4,1,5,4,1,1,1,4,1,0,1,1,1,0
5,4,5,3,3,2,4,5,5,5,5,5,5,5,5,3,4,5,3,4,5,5,4,5,3,5,5,17
2,4,2,4,0,1,1,3,3,4,3,4,5,4,2,1,4,4,1,1,3,4,4,5,3,1,3,3
2,2,2,4,2,2,2,4,3,4,3,4,4,4,4,2,4,4,2,2,3,3,3,4,2,4,3,5
3,3,4,0,1,1,1,5,4,5,4,4,5,4,3,1,5,5,1,4,4,4,4,5,2,5,4,24
3,3,1,3,2,1,1,5,5,5,5,5,5,5,5,1,5,0,3,2,5,3,2,5,2,4,4,2
5,5,4,4,5,3,3,5,4,5,5,5,5,5,5,4,5,4,3,5,4,4,4,5,4,4,5,13
1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,6
3,3,3,3,2,1,1,4,3,4,3,4,3,3,2,1,4,3,1,1,4,4,3,4,3,3,2,-3
4,3,2,4,3,3,2,4,3,3,3,3,3,4,3,2,4,4,2,3,3,3,4,4,3,3,3,-2
1,1,1,1,1,1,1,5,4,3,4,3,3,4,3,0,4,1,1,1,4,1,1,4,1,1,1,5
1,3,1,1,1,1,1,3,2,4,2,3,4,4,3,1,4,3,1,3,3,4,3,5,1,4,3,0
4,4,4,3,3,4,4,5,5,4,4,4,5,5,3,2,5,4,4,4,5,5,4,5,3,3,4,5
2,2,2,2,2,1,1,5,4,4,5,5,4,4,4,1,4,2,1,3,4,2,4,4,3,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,2,1,1,0
3,3,3,3,3,1,1,3,4,3,3,4,4,4,3,1,4,4,2,4,3,4,2,4,2,2,4,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-4
2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,3
2,3,3,3,0,1,1,5,4,4,4,3,5,4,4,1,5,5,1,3,4,4,1,5,2,3,3,4
1,3,3,4,3,1,1,3,3,3,3,3,4,3,3,1,4,4,1,1,3,4,2,4,2,3,4,-5
4,4,4,4,4,3,4,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,8
3,4,3,3,3,3,2,4,4,3,4,4,4,3,3,3,4,4,1,2,4,3,2,3,3,3,3,3
