No.,capital,labor,output,wage
1,2.60656335,184,9.25075902,43.08030732
2,1.32323682,91,3.66430998,27.78001595
3,22.09369203,426,28.78151634,44.46774765
4,10.73785113,72,4.12464171,39.73470951
5,1.16136465,46,2.89014951,34.65070871
6,276.7967008,7642,480.140372,48.93978241
7,1.67895897,48,2.14945419,32.45809688
8,1.15665474,108,4.14001089,31.11708634
9,0.8800095,35,2.46055614,35.11537852
10,3.48731652,72,3.85121904,32.52522549
11,0.52651836,71,3.24562377,42.70341536
12,0.67004667,29,1.71812559,38.81615312
13,2.9548488,77,4.40302218,26.27311743
14,0.44273154,57,2.92361466,39.91029
15,1.14252501,46,3.83634564,38.90256757
16,3.62439969,188,6.52669581,26.34887261
17,0.08998407,4,0.272679,24.8509725
18,7.32465372,222,3.47343468,43.05023826
19,3.6142362,180,3.70422027,19.71689544
20,0.38869152,61,2.11301436,27.25976921
21,0.1140294,13,2.23720725,24.82715027
22,3.88468419,58,4.66702503,44.77832903
23,1.72010871,88,4.37426694,36.0285557
24,2.52153708,16,2.66630484,32.7834525
25,0.97148091,86,3.52152534,35.22343377
26,3.68761164,74,3.7208289,36.20197955
27,5.79864288,93,6.33482895,36.12530717
28,6.44861046,41,3.45980073,42.93333334
29,7.01553489,268,14.45074755,32.9157266
30,1.86933849,141,7.92231651,32.9078437
31,0.18368649,13,0.52750992,32.81681849
32,3.91616622,71,8.72126598,35.75900012
33,4.05077049,65,7.47437928,52.73192926
34,2.14722318,38,1.93924347,29.89684782
35,5.73022524,144,7.89703173,37.64484808
36,1.412973,162,2.98533927,17.1105304
37,6.18212871,46,4.05200994,36.66617836
38,7.75201608,216,13.50380775,45.24795664
39,2.23324101,86,3.75131937,32.00663961
40,0.73474596,45,2.13259767,40.86327832
41,5.44887009,656,28.10799921,38.53214555
42,0.90554217,206,5.92581045,26.14637127
43,1.74464982,57,3.27066066,37.69668188
44,0.04610754,15,1.47197082,81.605388
45,2.8730451,53,10.47112149,47.26280656
46,2.03220222,80,5.2354368,41.28917813
47,17.0597898,606,25.71511704,38.65038908
48,5.48283102,48,2.77735956,29.44727451
49,1.67548851,77,3.06367251,41.22378474
50,0.15170868,23,51.21580923,82.22404707
51,6.24955479,84,4.44739449,32.11355456
52,0.39315354,143,6.67890027,41.73738803
53,81.65769279,557,50.15136957,39.83240296
54,145.1286878,1567,206.5037729,76.65244664
55,7.25226984,63,4.90425576,42.62133899
56,196.5961054,1280,287.7926054,188.4250809
57,0.97941339,33,1.57112682,25.41249293
58,2.35892124,40,2.12962299,31.531608
59,0.56568498,27,1.06047342,27.50661807
60,0.93057906,66,3.70174137,26.81344326
61,11.59951677,128,5.78748783,37.67154583
62,19.21692858,664,40.97943957,49.80759572
63,5.6345397,307,20.92389912,44.63554439
64,1.30067883,38,3.40650438,43.008915
65,1.12095858,38,2.37032418,31.33198218
66,4.50986277,60,4.55225196,43.67407824
67,0.72160779,40,5.41837962,32.60373225
68,8.16871917,54,4.88417667,39.23548384
69,9.12904503,207,10.92847854,31.92870299
70,52.54747431,614,43.86760596,41.25107743
71,0.4040607,58,2.34925353,32.49069441
72,42.23475453,131,19.85301432,48.46343698
73,2.19928008,93,2.52897378,26.80677502
74,3.95533284,130,7.00809819,43.19959199
75,12.20957406,128,5.43945027,26.40221854
76,1.02923928,114,4.2364401,32.07349554
77,2.16680649,117,6.0088536,30.51590351
78,6.66625788,246,20.92836114,76.53251746
79,2.34875775,26,1.61921748,26.03799377
80,3.58672041,189,6.82490748,29.6300686
81,1.67995053,189,15.68226507,69.01441039
82,2.03567268,211,7.13799255,25.8299149
83,0.79622268,173,3.40303392,17.54144007
84,0.32547957,7,0.58278939,43.55781783
85,1.12368537,49,5.21089569,42.3335387
86,15.33596274,1319,18.58406541,43.28940254
87,2.4888156,187,9.81570033,38.68541593
88,6.18435972,123,11.63025513,36.19394791
89,2.04980241,289,13.87242018,49.8919279
90,0.42017355,22,0.94793136,55.3358154
91,2.90477502,75,3.21686853,30.06080226
92,9.21035295,182,11.34914787,32.68062773
93,0.42984126,101,4.09291179,32.90801723
94,0.49032642,38,3.56267508,24.80203901
95,1.05006204,86,3.40724805,35.08796189
96,1.33513554,105,4.46995248,31.21760574
97,5.70717147,123,6.50562516,39.23312889
98,7.80679977,25,3.19455843,54.337488
99,2.6350707,87,3.31081884,33.77858212
100,6.53983398,46,5.56413894,30.8030345
101,1.04188167,28,2.18068833,50.09147935
102,2.04831507,46,3.29321865,54.46574629
103,34.40614044,602,37.29926463,47.36057437
104,2.17721787,22,4.52944608,53.6456518
105,2.21935917,177,7.59956373,35.29420637
106,12.10471659,155,14.16369093,35.89286072
107,39.95788488,152,17.8059387,70.90305951
108,0.98957688,102,5.43845871,36.00723716
109,33.53753388,130,12.73063884,44.19687825
110,0.49032642,6,0.53221983,34.99381326
111,7.05965931,110,4.94019981,30.8172386
112,32.55415425,442,41.40630615,64.02852445
113,5.22750432,148,9.28620729,39.99236638
114,1.33488765,42,1.63086831,26.50653065
115,0.72854871,94,9.02369178,48.64181863
116,2.77091442,176,8.70143478,37.59336133
117,0.98337963,85,3.26148873,28.59483038
118,8.80381335,118,19.3577301,80.8709643
119,1.87082583,12,1.1130261,34.7046
120,2.87403666,177,10.03855344,46.27979876
121,0.70995696,41,1.7302722,29.35984371
122,1.95312531,138,5.14346961,32.14307826
123,10.66249257,390,15.87066147,31.6377545
124,2.24266083,48,2.49798753,33.72337701
125,0.96453999,92,7.0053714,29.6875295
126,4.734699,208,11.47606755,40.56100125
127,0.45562182,61,2.34974931,34.24538378
128,7.34869905,70,4.71114945,31.94947617
129,450.4887618,3443,329.5335631,50.227918
130,23.00766246,28,1.29720837,33.58024533
131,6.31797243,294,15.47726004,30.54022152
132,1.95957045,36,2.67250209,36.57755768
133,0.64798446,51,3.23669973,55.30376322
134,1.12988262,148,5.91515118,29.18401533
135,1.03246185,88,4.35939354,35.17502085
136,5.0371248,200,10.42922808,40.0664607
137,2.09838885,35,1.82347884,41.36929617
138,0.87529959,110,4.43698311,32.0814776
139,1.38099519,38,1.40157006,28.76827901
140,14.76036216,104,7.20591441,42.281928
141,0.5329635,173,3.61522776,17.75924118
142,22.38050076,440,24.50367861,37.2319625
143,3.41418897,47,3.36188418,59.19295901
144,0.82002012,43,2.12491308,36.93561
145,13.42225194,349,30.64118712,62.71758297
146,0.53221983,48,2.54459085,33.01584938
147,0.54139176,26,0.66756777,45.487815
148,0.6370773,142,3.78230562,19.82596208
149,5.25204543,266,30.97038504,51.72420683
150,5.47539432,45,3.42460035,28.86540232
151,0.02280588,9,0.60113325,31.15151826
152,1.08774132,45,1.73250321,24.29322
153,0.78481974,49,2.19952797,35.51909217
154,0.77267313,219,7.39654182,29.96752126
155,11.36699595,69,6.33334161,30.02342045
156,17.17902489,923,48.45208362,40.90373396
157,1.2716757,44,7.3325862,46.0568465
158,0.41695098,30,1.34455536,39.488877
159,0.70524705,34,2.92733301,45.05765148
160,0.97569504,80,3.78602397,30.0070845
161,6.32714436,100,5.35392822,20.0964423
162,34.52091351,642,79.04840265,62.16595336
163,8.87495778,108,8.58666171,33.55696846
164,1.65540942,76,2.81528673,28.38013285
165,0.30217791,171,4.25924598,22.67686069
166,9.70340616,282,24.50665329,61.00379546
167,7.50239085,239,16.64705295,30.88357396
168,0.5379213,29,1.17202392,39.03841129
169,0.83315829,61,3.39311832,40.75961072
170,0.57609636,81,3.95087082,39.94090442
171,1.31927058,33,2.04806718,28.79279534
172,2.28257112,157,10.28322087,39.55345235
173,2.09392683,35,2.4466743,31.30496217
174,46.14868974,938,108.7778504,81.14989013
175,1.54732938,180,9.21208818,47.88134168
176,23.78876385,673,26.24039595,26.52090827
177,1.67499273,42,2.77587222,35.17678087
178,1.19433402,63,1.98510312,26.37470275
179,12.28220583,280,9.37172934,28.63838465
180,7.21434267,134,2.63234391,33.03781243
181,2.31677994,211,9.0455061,35.98282
182,0.55552149,89,7.27730673,68.99698372
183,2.16234447,80,5.32442931,46.36472588
184,5.7113856,170,7.79415738,34.59523093
185,1.52030937,14,1.37281482,25.12541152
186,2.90948493,100,5.02894443,31.5018612
187,0.86687133,19,1.08947655,32.00391282
188,31.64613318,1780,95.81270757,38.40847322
189,5.1932955,157,15.95593563,55.14208936
190,1.19334246,282,11.82113043,35.34894048
191,93.2760492,877,58.33397058,33.86341007
192,3.06863031,347,12.65602395,31.53703679
193,2.24712285,42,2.98657872,40.34704739
194,1.660863,98,8.0241993,42.05783544
195,0.32622324,35,1.88941758,42.686658
196,6.08644317,273,19.38623745,49.3900498
197,4.8288972,46,3.5324325,32.60831822
198,0.01388184,429,11.22074085,26.10068515
199,1.26647001,99,5.83904895,37.8370372
200,8.45255322,209,7.12832484,25.94897647
201,2.87750712,184,6.18336816,24.25549858
202,12.54422556,385,25.27907853,39.7525328
203,4.2785814,105,8.77257921,45.20333644
204,1.25853753,61,3.35742216,38.93092619
205,5.74683387,162,13.52438262,57.43398115
206,17.20455756,155,18.2570985,62.11483844
207,66.38915613,818,48.07801761,45.58146784
208,0.75482505,26,3.15787071,30.50953274
209,2.18936448,212,20.1955983,54.91232012
210,9.01451985,164,7.1739366,37.70949779
211,8.47436754,145,14.05214043,36.60395797
212,1.06196076,61,4.02846039,44.02283468
213,2.06913783,183,6.11891676,28.36511072
214,2.40354144,92,3.50888295,26.79906564
215,0.04139763,22,0.59344866,20.48472728
216,1.49601615,37,1.38421776,26.90610455
217,12.245766,369,24.28776642,35.60748975
218,27.34350645,1237,78.73184712,42.24571127
219,2.45857302,141,6.59610501,32.87090809
220,0.21194595,20,1.07410737,35.745738
221,2.64771309,195,9.00286902,40.58403023
222,15.66292965,1,4.01557011,46.85121
223,3.50615616,14,2.90973282,53.77443065
224,7.41909981,50,13.5248784,38.7402492
225,3.39485355,66,8.6637555,56.33488646
226,6.19303587,204,9.742077,35.18944805
227,12.37913082,939,36.03651297,38.19432105
228,0.24268431,5,0.35002068,21.268962
229,1.70573109,38,5.38813704,38.55341451
230,4.48085964,86,5.44515174,29.5680961
231,4.22280615,69,6.6409731,42.09819193
232,0.04015818,66,2.83710105,33.9947422
233,0.10262646,37,1.64326281,41.58523315
234,23.1752361,534,27.79714515,35.33129071
235,2.07607875,93,3.73099239,32.29501004
236,3.81180453,101,4.54060113,32.50058522
237,0.65393382,151,4.89359649,27.24985361
238,2.05847856,23,1.24787826,30.85692579
239,0.41075373,53,2.20225476,46.66878775
240,2.67349365,189,7.461489,31.31807555
241,0.63782097,18,2.70720669,54.76993211
242,1.23870633,50,2.35148454,36.7521714
243,2.2954614,248,6.75401094,21.61840758
244,4.96895505,36,0.74317422,29.70547674
245,15.94403691,262,18.80543118,44.30324785
246,23.26298916,411,30.89874483,51.53819018
247,17.30470512,433,40.27493619,43.98815487
248,1.75283019,47,4.08993711,34.59912281
249,7.4342211,122,5.58025179,24.61019446
250,0.90182382,99,4.30262673,35.70116738
251,0.01189872,1,0.86166564,31.48203
252,1.42363227,43,1.70870577,28.24793312
253,0.99478257,233,12.1193421,45.5777247
254,19.20428619,517,33.75220662,40.87740805
255,0.19608099,45,1.45561008,24.62373917
256,0.01388184,3,0.12939858,40.32344826
257,0.16955676,19,1.09269912,32.17351916
258,0.93181851,44,2.32148985,39.7525328
259,1.63037253,40,2.47939578,39.0798585
260,1.97617908,16,1.87231317,37.50885563
261,1.23895422,40,2.22506064,40.802694
262,10.28396454,377,14.05685034,29.96115048
263,6.54727068,74,4.1769465,32.13859145
264,3.81849756,94,4.17595494,31.97252994
265,0.34109664,9,0.8081214,37.92717
266,2.09640573,313,13.65923478,37.56363932
267,7.84001703,217,18.86864313,50.16173137
268,2.00171175,102,5.61049437,43.19118852
269,0.28383405,33,1.72928064,34.9074236
270,0.44248365,2,0.28879185,35.44827
271,2.61375216,160,6.40349448,33.41867063
272,1.46478201,77,4.58720445,43.70912988
273,2.50220166,83,2.66903163,27.52176415
274,31.22050605,170,12.53307051,79.87890852
275,1.95287742,216,10.12159659,38.45049058
276,3.65712117,52,3.89212089,37.54103175
277,0.73995165,50,2.15118942,26.5093566
278,1.63979235,216,8.8298418,35.82241038
279,3.43253283,132,7.23987534,36.20133503
280,0.36638142,13,2.60334078,39.75773849
281,2.80710636,89,3.3564306,34.3870777
282,61.93630806,283,48.66155067,59.43053678
283,2.59119417,65,3.42360879,30.81081825
284,9.71629644,157,16.34983284,55.78630589
285,13.08065952,390,17.42146131,40.56687624
286,6.24509277,1162,35.57072766,25.23465664
287,0.21145017,24,1.54906461,39.8483175
288,0.38026326,97,4.42830696,41.89085673
289,61.7816247,2092,121.08311,39.4442568
290,0.50048991,45,2.02650075,24.61272294
291,1.02552093,66,3.38493795,42.47181174
292,1.91073612,114,5.825415,41.89774808
293,2.78529204,45,3.70248504,52.08994374
294,3.09193197,71,4.00738974,31.17829038
295,3.44120898,172,10.30602675,41.38322759
296,1.16161254,47,2.56169526,26.18139813
297,1.52749818,113,5.19354339,39.04376572
298,10.03483509,376,17.62869735,52.16964037
299,1.69408026,44,2.25778212,34.1186872
300,1.13161785,194,5.16131769,23.87027256
301,1.56245067,66,5.04431361,34.5243096
302,0.00223101,2,0.38621262,42.38919
303,0.34010508,53,2.16829383,15.02774623
304,7.71309735,226,15.93808755,53.1559451
305,3.69975825,309,11.99738022,31.75639465
306,1.02403359,151,4.81253646,22.15906558
307,5.40028365,44,5.49225084,38.7497186
308,0.9642921,31,1.29572103,27.84364931
309,0.71541054,11,0.51908166,29.5890428
310,1.65243474,56,5.09141271,44.89022658
311,1.63260354,83,3.81924123,36.12324968
312,2.04112626,264,9.96245121,34.93089878
313,0.04164552,8,2.10433821,32.56654875
314,6.75376305,108,5.66205549,28.78967192
315,5.70617991,267,13.38804312,41.90920059
316,0.12543234,20,1.08898077,30.4532865
317,6.67939605,175,9.16003128,40.1482644
318,0.52329579,78,2.98509138,32.25113351
319,1.46081577,127,5.2627047,37.23424308
320,2.2657146,178,5.58719271,25.57724062
321,0.95883852,57,2.85891537,36.19630286
322,3.86634033,157,12.4068945,40.30503004
323,13.11238944,312,17.13192579,41.06553177
324,9.51748866,26,1.16657034,69.43780651
325,0.7089654,171,4.83360711,22.7536942
326,0.59964591,31,1.21664412,32.92938534
327,6.72426414,270,21.21888822,44.72485916
328,7.48553433,64,5.41044714,40.69268042
329,1.24292046,49,1.85520876,28.66924696
330,2.05128975,28,2.84726454,28.35685598
331,2.77587222,92,7.77184728,40.5946895
332,2.107065,236,8.06584482,29.60815512
333,3.64175199,30,2.50294533,65.740428
334,0.33142893,37,1.56988737,32.12520539
335,2.70621513,75,3.52797048,30.17978946
336,0.97767816,47,2.86858308,41.75627725
337,3.6588564,170,6.79292967,31.57679835
338,46.97143665,502,52.55738991,62.25940789
339,1.89536694,23,1.6286373,52.47722228
340,3.53639874,26,1.91891649,30.25212377
341,26.35095489,367,22.51931916,41.25645665
342,2.14548795,67,3.18687384,32.4032884
343,6.89481246,231,18.57241458,40.38889122
344,357.0099386,1273,156.3080311,62.52670767
345,0.96602733,53,4.17868173,32.69810397
346,8.29241628,66,6.79763958,56.28605213
347,1.83215499,30,4.80336453,56.80813326
348,4.55324352,278,24.98210631,31.76112935
349,1.7228355,48,4.30708875,36.49664639
350,2.9771589,28,1.57187049,36.78511598
351,0.7312755,46,2.1145017,16.62479739
352,1.63309932,332,28.68211245,71.13173803
353,3.25603515,188,5.90350035,26.8775972
354,1.65218685,580,86.62639995,62.74864359
355,6.57255546,69,27.45555273,56.34646293
356,2.49402129,107,5.37499887,31.88051318
357,0.01016349,3,0.02627634,40.73658174
358,9.07723602,156,5.49869598,28.94433049
359,1.2617601,137,5.52918645,28.70819048
360,1786.8992,10661,1279.371693,105.4945473
361,17.86369707,129,16.7648007,42.01063718
362,13.12924596,109,9.51550554,41.58411765
363,2.27761332,104,5.44341651,25.7185875
364,1.22036247,31,1.51262478,33.14529753
365,1.87330473,72,5.62561566,33.48235357
366,2.31355737,35,2.11078335,31.65200817
367,10.11763035,753,29.62880436,32.16281031
368,1.14847437,11,0.86885445,43.2004596
369,1.44817338,68,9.01179306,39.7243725
370,2.07880554,131,3.89410401,27.19598711
371,3.38221116,63,2.67250209,30.79738261
372,4.77064305,54,2.50170588,26.71703884
373,36.69441303,72,13.66196157,41.41141268
374,1.81009278,75,3.1085406,34.81037466
375,14.22665499,218,19.10042028,53.34979508
376,4.50316974,124,6.38886897,38.48693041
377,5.22676065,114,6.39903246,40.530015
378,2.77711167,52,3.99499524,63.62669476
379,24.35246571,156,16.22563995,50.54095349
380,0.20004723,30,2.08153233,45.70266126
381,6.2146023,155,6.51603654,30.46488775
382,1.2344922,44,4.70445642,28.9636907
383,6.122883,118,6.00116901,35.2781183
384,1.12616427,125,10.08317364,40.65990936
385,4.78055865,242,10.48549911,28.49505466
386,1.7798502,29,2.61722262,28.92620973
387,9.46295286,44,4.85393409,38.0792753
388,0.54312699,127,7.58171565,50.00741985
389,1.20895953,35,1.51039377,29.08104183
390,8.08096611,168,10.91063046,63.06440587
391,15.3270387,427,18.83889633,33.36296974
392,10.17290982,205,41.5538007,70.36084971
393,2.81677407,43,2.76744396,43.84770039
394,0.61526298,41,1.64871639,29.89796332
395,6.13230282,124,6.74112066,31.23213209
396,11.60149989,462,29.03337258,49.23192077
397,13.34763705,120,18.21074307,38.39402124
398,2.90427924,142,9.4272567,49.43833877
399,2.03294589,165,9.57921327,43.61361787
400,0.22706724,48,1.08005673,17.10441
401,7.84001703,108,3.67670448,19.26197019
402,1.8120759,75,2.89932144,30.11697414
403,1.22358504,18,1.660863,35.03511174
404,0.05032167,5,0.61129674,48.09066
405,7.68062376,219,11.27577243,46.98023675
406,1.31927058,27,2.21663238,42.90333865
407,0.61575876,95,4.18140852,32.81803316
408,6.90076182,407,18.94499325,42.44399848
409,0.61922922,81,4.36831758,46.35238095
410,0.81258342,98,5.08843803,30.34882565
411,21.68640876,462,57.43437777,72.46436988
412,1.01064753,53,3.20571348,48.93254402
413,0.32771058,49,1.82868453,29.02841478
414,2.13705969,17,1.96353669,38.67084
415,1.87330473,56,3.23719551,38.88330652
416,0.57113856,114,4.43574366,33.54995317
417,10.74256104,93,9.92328459,55.73794256
418,1.0262646,69,4.67470962,54.83398688
419,1.32546783,42,2.10557766,27.57481261
420,2.62738611,126,6.18138504,35.15119862
421,0.49701945,104,4.71561147,34.30891798
422,43.48213701,2059,209.1294238,47.40754953
423,4.16008998,155,7.99073415,33.99610559
424,9.79339023,67,4.03168296,31.37843677
425,3.80238471,48,3.5919261,12.38417042
426,1.66557291,91,6.78821976,46.59513963
427,35.60840694,1361,71.42925561,30.53181805
428,0.9320664,78,3.11126739,32.75960548
429,10.30057317,306,16.86767505,47.37777794
430,0.00322257,118,3.38320272,24.9906833
431,6.51132663,241,72.56186502,45.77326034
432,7.16377311,147,5.31203481,42.98110174
433,6.48901653,219,23.5098876,83.9826531
434,5.18065311,126,6.21088395,39.14892065
435,0.31283718,15,0.88695042,27.18527826
436,2.68762338,91,4.65264741,38.89148689
437,2.82693756,37,2.72951679,35.38798315
438,1.31183388,47,2.52624699,32.52106094
439,0.42959337,3,0.43207227,24.45848083
440,1.52130093,155,7.5680817,39.51686378
441,0.68095383,158,3.37725336,17.96888671
442,15.79133667,219,12.80029593,43.29473217
443,0.64401822,37,1.80414342,34.89889618
444,1.67871108,40,2.31975462,31.258929
445,0.20351769,112,6.00166479,51.28224375
446,1.87429629,370,17.21719995,21.28839162
447,5.47514643,203,7.6374909,30.47215093
448,1.72556229,94,4.95185064,31.7562955
449,1.37157537,89,2.49972276,21.00658779
450,1.06072131,69,2.52302442,31.70835357
451,3.01483818,69,4.75576965,42.19159688
452,3.88394052,129,9.80429739,35.68269957
453,1.23374853,165,4.72998909,21.33656904
454,1.01114331,54,2.90254401,34.084875
455,2.69183751,59,2.30909535,27.78889041
456,0.5899782,40,1.47915963,24.15068325
457,3.36188418,44,2.14821474,26.6143628
458,0.30044268,13,2.24018193,57.94904699
459,5.32071096,273,12.54744813,30.74654037
460,0.01710441,31,4.05969453,42.22925137
461,8.72622378,75,7.40769687,25.0071432
462,13.29037446,70,4.60257363,49.65945665
463,0.98288385,138,8.4381756,49.53667674
464,1.1774775,57,2.71588284,30.92100535
465,0.95710329,85,7.54007013,63.24112665
466,2.46501816,178,8.2696104,34.85499486
467,0.79275222,58,3.56589765,42.66700032
468,2.79892599,133,5.59091106,32.9488695
469,0.77168157,45,2.79272874,37.60216142
470,34.8508551,206,25.86310737,39.38201162
471,10.49467104,41,11.97283911,28.45898666
472,5.41243026,196,8.75126067,36.1362887
473,1.77836286,82,3.03590883,28.76733703
474,0.97767816,43,2.28455424,35.8748639
475,0.83514141,42,2.20398999,30.50226956
476,0.69607512,17,1.09393857,28.94480148
477,22.28060109,485,37.54145316,53.24421873
478,0.90653373,57,2.37280308,29.02923282
479,6.742608,61,4.70098596,29.8727777
480,0.36613353,43,2.05922223,40.01983259
481,0.99850092,69,3.21711642,30.83535936
482,0.13212537,50,3.61374042,56.5090044
483,0.29895534,105,3.93550164,30.59433591
484,2.03443323,70,3.53168883,41.33035265
485,0.23252082,42,4.00813341,74.50864435
486,11.98325049,333,28.3016013,49.41347541
487,1.1303784,98,3.05450058,25.60349217
488,4.6578531,117,7.11543456,43.692199
489,0.84704013,42,1.92263484,35.13545761
490,1.58922279,74,4.58175087,34.83523803
491,0.46033173,35,0.9866022,19.97285178
492,4.45383963,108,8.51824407,32.93493808
493,89.45085861,720,52.92575445,40.01737848
494,1.63557822,44,3.08920518,42.31593851
495,1.02304203,445,12.70783296,26.3459723
496,21.70400895,2102,125.0394344,43.92888437
497,8.00114553,310,21.01214796,32.88940069
498,2.96327706,73,4.59067491,38.11393033
499,8.62805934,158,12.45077103,41.48706871
500,0.17426667,8,0.5577525,43.96948875
501,6.39952824,49,3.65960007,52.92198652
502,0.66880722,8,0.4536387,34.23980625
503,1.50494019,56,2.53864149,31.81402908
504,2.14994997,41,2.86238583,28.83989444
505,6.1055307,187,7.56213234,32.49081836
506,3.87997428,601,23.20671813,39.69745165
507,135.8102549,534,137.2953638,173.8252027
508,1.43974512,60,2.8953552,36.43983
509,0.64401822,56,3.01359873,45.8463631
510,2.73769716,121,6.37944915,28.14267902
511,0.93603264,48,2.66828796,36.75484861
512,6.3980409,113,7.74309204,36.82373724
513,2.86387317,45,3.4357554,33.91685516
514,12.03332427,321,22.71812694,43.45025836
515,2.6995221,116,5.69576853,32.09962315
516,13.53702501,39,7.82563941,30.63665073
517,0.62393913,116,3.66232686,26.97727376
518,12.44209488,120,7.55271252,37.91271801
519,0.17748924,45,3.03342993,56.21594884
520,0.69433989,18,1.10087949,30.862305
521,2.99624643,106,5.5081158,32.9319634
522,5.67891201,295,19.77046695,59.11125446
523,2.03492901,51,2.70001788,29.3968289
524,0.37059555,18,1.30117461,44.68906384
525,8.42404587,317,20.27517099,47.09129147
526,3.47194734,112,6.83085684,41.20950628
527,4.97911854,52,4.52771085,33.87035099
528,14.96338407,474,22.41495747,35.58634473
529,1.5468336,20,1.1130261,37.753647
530,0.34109664,84,3.79990581,31.60892489
531,5.32442931,443,17.92443012,34.6547989
532,0.14600721,43,2.53938516,49.30128039
533,2.14970208,44,2.16284025,29.9327175
534,1.46131155,53,1.89164859,33.85803086
535,1.37727684,32,1.46304678,28.00383583
536,0.28780029,30,0.96453999,22.384467
537,0.19905567,50,1.21862724,22.2803532
538,3.81453132,41,1.83983958,30.96810445
539,19.31831559,1061,57.1113771,38.08931485
540,2.98038147,38,2.07632664,28.84656268
541,5.39953998,35,2.52500754,35.57575983
542,2.40502878,296,4.33683555,11.73373929
543,2.31083058,60,3.68314962,51.82965924
544,0.8081214,74,3.45930495,37.44142955
545,21.21417831,209,20.58899973,51.29781124
546,0.93231429,34,2.01708093,37.24182852
547,4.29023223,295,15.56302998,34.91803329
548,2.91097227,80,3.63877731,32.25668625
549,1.53667011,34,2.2434045,39.30514093
550,0.31333296,91,3.62092923,33.38342067
551,0.09940389,2,0.08106003,17.228355
552,9.87519393,233,9.9800514,31.61502299
553,0.79176066,127,4.38120786,31.8685153
554,1.86462858,87,3.52920993,37.4228378
555,1.23077385,14,2.00741322,37.555335
556,4.06589178,663,32.82261912,37.46242583
557,4.48011597,92,5.17470375,28.66361986
558,4.33039041,81,6.41935944,45.09761135
559,0.79151277,86,5.69229807,41.8242239
560,3.73495863,61,3.66480576,42.86464302
561,4.16157732,19,3.0763149,48.76908535
562,0.88794198,67,2.54954865,50.40305229
563,2.92658934,60,3.77462103,31.9158375
564,1.21441311,54,2.79595131,28.40635961
565,2.62540299,20,1.42437594,33.4775445
566,1.27638561,61,2.10904812,26.30073238
567,1.95386898,117,6.2418702,41.15397892
568,1.31852691,46,7.90223742,66.72013886
569,2.83239114,161,6.80408472,36.61843475
